<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TSEClose>
geram18,d,20230107,000000,18964400,18964400,18964400,18964400,18964400
geram18,d,20230108,000000,18835100,18835100,18835100,18835100,18835100
geram18,d,20230109,000000,18731200,18731200,18731200,18731200,18731200
geram18,d,20230110,000000,18821300,18821300,18821300,18821300,18821300
geram18,d,20230111,000000,18939000,18939000,18939000,18939000,18939000
geram18,d,20230112,000000,19091400,19091400,19091400,19091400,19091400
geram18,d,20230113,000000,19091400,19091400,19091400,19091400,19091400
geram18,d,20230114,000000,19241400,19241400,19241400,19241400,19241400
geram18,d,20230115,000000,19229900,19229900,19229900,19229900,19229900
geram18,d,20230116,000000,19310700,19310700,19310700,19310700,19310700
geram18,d,20230117,000000,19991700,19991700,19991700,19991700,19991700
geram18,d,20230118,000000,20268700,20268700,20268700,20268700,20268700
geram18,d,20230119,000000,20291800,20291800,20291800,20291800,20291800
geram18,d,20230120,000000,20349500,20349500,20349500,20349500,20349500
geram18,d,20230121,000000,20989000,20989000,20989000,20989000,20989000
geram18,d,20230122,000000,21192100,21192100,21192100,21192100,21192100
geram18,d,20230123,000000,21019000,21019000,21019000,21019000,21019000
geram18,d,20230124,000000,20338000,20338000,20338000,20338000,20338000
geram18,d,20230125,000000,20638100,20638100,20638100,20638100,20638100
geram18,d,20230126,000000,21252100,21252100,21252100,21252100,21252100
geram18,d,20230127,000000,21252100,21252100,21252100,21252100,21252100
geram18,d,20230128,000000,20799700,20799700,20799700,20799700,20799700
geram18,d,20230129,000000,21233700,21233700,21233700,21233700,21233700
geram18,d,20230130,000000,20926600,20926600,20926600,20926600,20926600
geram18,d,20230131,000000,21162100,21162100,21162100,21162100,21162100
